epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,105.614,0.24146,0.2503,0.20893,0.87749,0.99971,0.25195,0.33134,0.32687,0.99971,0.25195,0.33158,0.32993,0.17047,0.27099,0.16829,0.80793,0.0014258,0.0014258,0.0014258
31,211.231,0.25,0.26857,0.21161,0.89056,0.99975,0.25195,0.30063,0.29523,0.99975,0.25195,0.30121,0.29889,0.20144,0.36864,0.18736,0.85124,0.001406,0.001406,0.001406
32,318.074,0.25238,0.25828,0.21169,0.88541,0.9995,0.25195,0.27191,0.26796,0.9995,0.25195,0.27377,0.27097,0.19782,0.35068,0.18725,0.84643,0.0013862,0.0013862,0.0013862
33,424.293,0.2549,0.25887,0.2164,0.87944,0.99739,0.25195,0.29202,0.2887,0.99739,0.25195,0.29356,0.29141,0.17477,0.35497,0.17074,0.80829,0.0013664,0.0013664,0.0013664
34,533.645,0.25101,0.26299,0.2129,0.87638,0.99381,0.25195,0.27987,0.27729,0.99381,0.25195,0.28168,0.27918,0.18069,0.31515,0.18106,0.81516,0.0013466,0.0013466,0.0013466
35,644.384,0.25047,0.26288,0.21322,0.8772,0.99971,0.25195,0.30272,0.29857,0.99971,0.25195,0.30513,0.30114,0.18854,0.31474,0.17265,0.82065,0.0013268,0.0013268,0.0013268
36,756.043,0.25013,0.26623,0.21266,0.87543,0.99982,0.25195,0.31438,0.31121,0.99982,0.25195,0.31697,0.31332,0.17878,0.34343,0.16036,0.8112,0.001307,0.001307,0.001307
37,862.018,0.2448,0.26478,0.20464,0.87338,0.99948,0.25195,0.28489,0.28178,0.99948,0.25195,0.28653,0.28346,0.17308,0.32897,0.15695,0.80394,0.0012872,0.0012872,0.0012872
38,972.338,0.24321,0.26706,0.20904,0.86818,0.9997,0.25195,0.27558,0.27285,0.9997,0.25195,0.2792,0.27353,0.17867,0.35894,0.16734,0.81644,0.0012674,0.0012674,0.0012674
39,1083.11,0.2372,0.26277,0.20074,0.86716,0.99983,0.25195,0.30356,0.29936,0.99983,0.25195,0.307,0.30257,0.17157,0.35282,0.15729,0.79529,0.0012476,0.0012476,0.0012476
